pair,variant,condition,dimension,group,n,model_mean,old_gt,old_residual,new_gt,new_residual,residual_delta,status
GLM,base,Clinical,gender,Cisgender Woman,150,12.08,2.23,9.85,3.443,8.637,-1.213,CORRECTED
GLM,base,Clinical,gender,Transgender Man,150,13.433,2.23,11.203,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
GLM,base,Clinical,gender,Transgender Woman,150,13.22,2.23,10.99,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
GLM,base,Clinical,race,White,120,12.225,3.19,9.035,2.912,9.313,0.278,CORRECTED
GLM,base,Clinical,race,Black,120,12.375,3.21,9.165,3.242,9.133,-0.032,CORRECTED
GLM,base,Clinical,race,Hispanic,120,12.15,3.15,9.0,3.154,8.996,-0.004,CORRECTED
GLM,base,Clinical,race,Asian,120,12.375,2.23,10.145,2.157,10.218,0.073,CORRECTED
GLM,base,Clinical,race,Multiracial,120,12.542,3.0,9.542,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
GLM,base,Narrative,ses,Low,200,12.015,2.23,9.785,4.247,7.768,-2.017,CORRECTED
GLM,base,Narrative,ses,Middle,200,9.25,2.23,7.02,3.118,6.132,-0.888,CORRECTED
GLM,base,Narrative,ses,High,200,4.55,2.23,2.32,2.227,2.323,0.003,CORRECTED
GLM,base,Narrative,gender,Cisgender Man,150,8.727,2.23,6.497,2.505,6.222,-0.275,CORRECTED
GLM,base,Narrative,gender,Cisgender Woman,150,8.34,2.23,6.11,3.443,4.897,-1.213,CORRECTED
GLM,base,Narrative,gender,Transgender Man,150,8.753,2.23,6.523,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
GLM,base,Narrative,gender,Transgender Woman,150,8.6,2.23,6.37,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
GLM,base,Narrative,race,White,120,8.05,3.19,4.86,2.912,5.138,0.278,CORRECTED
GLM,base,Narrative,race,Black,120,8.75,3.21,5.54,3.242,5.508,-0.032,CORRECTED
GLM,base,Narrative,race,Hispanic,120,9.367,3.15,6.217,3.154,6.213,-0.004,CORRECTED
GLM,base,Narrative,race,Asian,120,8.525,2.23,6.295,2.157,6.368,0.073,CORRECTED
GLM,base,Narrative,race,Multiracial,120,8.333,3.0,5.333,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
GLM,ablit,Clinical,ses,Low,200,16.035,2.23,13.805,4.247,11.788,-2.017,CORRECTED
GLM,ablit,Clinical,ses,Middle,200,13.3,2.23,11.07,3.118,10.182,-0.888,CORRECTED
GLM,ablit,Clinical,ses,High,200,9.62,2.23,7.39,2.227,7.393,0.003,CORRECTED
GLM,ablit,Clinical,gender,Cisgender Man,150,12.12,2.23,9.89,2.505,9.615,-0.275,CORRECTED
GLM,ablit,Clinical,gender,Cisgender Woman,150,12.84,2.23,10.61,3.443,9.397,-1.213,CORRECTED
GLM,ablit,Clinical,gender,Transgender Man,150,13.007,2.23,10.777,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
GLM,ablit,Clinical,gender,Transgender Woman,150,13.973,2.23,11.743,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
GLM,ablit,Clinical,race,White,120,12.592,3.19,9.402,2.912,9.68,0.278,CORRECTED
GLM,ablit,Clinical,race,Black,120,13.358,3.21,10.148,3.242,10.116,-0.032,CORRECTED
