pair,variant,dimension,group,n,model_sd,old_ref_sd,old_SI,new_ref_sd,new_SI,status
Yi1.5,base,gender,Cisgender Man,150,3.968,4.3,0.923,3.585,1.107,DESCRIPTIVE_only
Yi1.5,base,gender,Cisgender Woman,150,3.828,5.1,0.751,4.192,0.913,DESCRIPTIVE_only
Yi1.5,base,gender,Transgender Man,150,3.459,6.2,0.558,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Yi1.5,base,gender,Transgender Woman,150,3.818,5.7,0.67,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Yi1.5,base,race,White,120,3.851,4.19,0.919,3.835,1.004,DESCRIPTIVE_only
Yi1.5,base,race,Black,120,3.768,4.35,0.866,4.249,0.887,DESCRIPTIVE_only
Yi1.5,base,race,Hispanic,120,3.571,4.2,0.85,4.154,0.86,DESCRIPTIVE_only
Yi1.5,base,race,Asian,120,3.994,3.07,1.301,3.011,1.326,DESCRIPTIVE_only
Yi1.5,base,race,Multiracial,120,4.164,4.5,0.925,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Yi1.5,ablit,ses,Low,200,4.119,5.9,0.698,4.885,0.843,DESCRIPTIVE_only
Yi1.5,ablit,ses,Middle,200,3.959,5.5,0.72,3.955,1.001,DESCRIPTIVE_only
Yi1.5,ablit,ses,High,200,4.098,4.7,0.872,3.085,1.328,DESCRIPTIVE_only
Yi1.5,ablit,gender,Cisgender Man,150,3.991,4.3,0.928,3.585,1.113,DESCRIPTIVE_only
Yi1.5,ablit,gender,Cisgender Woman,150,4.215,5.1,0.827,4.192,1.006,DESCRIPTIVE_only
Yi1.5,ablit,gender,Transgender Man,150,4.35,6.2,0.702,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Yi1.5,ablit,gender,Transgender Woman,150,4.36,5.7,0.765,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Yi1.5,ablit,race,White,120,4.325,4.19,1.032,3.835,1.128,DESCRIPTIVE_only
Yi1.5,ablit,race,Black,120,4.201,4.35,0.966,4.249,0.989,DESCRIPTIVE_only
Yi1.5,ablit,race,Hispanic,120,4.107,4.2,0.978,4.154,0.989,DESCRIPTIVE_only
Yi1.5,ablit,race,Asian,120,4.429,3.07,1.443,3.011,1.471,DESCRIPTIVE_only
Yi1.5,ablit,race,Multiracial,120,4.304,4.5,0.957,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
