pair,variant,condition,dimension,group,n,residual,t,p,p_bh,sig_bh_.05
Phi3med,base,Clinical,race,White,120,10.305,37.499,0.000e+00,0.000e+00,True
Phi3med,base,Clinical,race,Black,120,10.258,37.266,0.000e+00,0.000e+00,True
Phi3med,base,Clinical,race,Hispanic,120,9.846,40.939,0.000e+00,0.000e+00,True
Phi3med,base,Clinical,race,Asian,120,10.401,38.661,0.000e+00,0.000e+00,True
Phi3med,base,Clinical,gender,Cisgender Man,150,10.282,39.859,0.000e+00,0.000e+00,True
Phi3med,base,Clinical,gender,Cisgender Woman,150,9.11,39.105,0.000e+00,0.000e+00,True
Phi3med,base,Clinical,ses,Low,200,11.123,73.294,0.000e+00,0.000e+00,True
Phi3med,base,Clinical,ses,Middle,200,9.047,55.136,0.000e+00,0.000e+00,True
Phi3med,base,Clinical,ses,High,200,9.413,50.513,0.000e+00,0.000e+00,True
Phi3med,base,Narrative,race,White,120,7.371,30.605,0.000e+00,0.000e+00,True
Phi3med,base,Narrative,race,Black,120,7.175,26.444,0.000e+00,0.000e+00,True
Phi3med,base,Narrative,race,Hispanic,120,7.613,32.214,0.000e+00,0.000e+00,True
Phi3med,base,Narrative,race,Asian,120,8.251,39.891,0.000e+00,0.000e+00,True
Phi3med,base,Narrative,gender,Cisgender Man,150,7.462,35.017,0.000e+00,0.000e+00,True
Phi3med,base,Narrative,gender,Cisgender Woman,150,6.617,33.414,0.000e+00,0.000e+00,True
Phi3med,base,Narrative,ses,Low,200,8.073,50.892,0.000e+00,0.000e+00,True
Phi3med,base,Narrative,ses,Middle,200,7.202,50.437,0.000e+00,0.000e+00,True
Phi3med,base,Narrative,ses,High,200,6.673,42.396,0.000e+00,0.000e+00,True
Phi3med,ablit,Clinical,race,White,120,11.705,78.887,0.000e+00,0.000e+00,True
Phi3med,ablit,Clinical,race,Black,120,11.491,67.697,0.000e+00,0.000e+00,True
Phi3med,ablit,Clinical,race,Hispanic,120,11.171,70.718,0.000e+00,0.000e+00,True
Phi3med,ablit,Clinical,race,Asian,120,12.285,77.415,0.000e+00,0.000e+00,True
Phi3med,ablit,Clinical,gender,Cisgender Man,150,11.928,83.801,0.000e+00,0.000e+00,True
Phi3med,ablit,Clinical,gender,Cisgender Woman,150,11.037,75.515,0.000e+00,0.000e+00,True
Phi3med,ablit,Clinical,ses,Low,200,10.803,92.96,0.000e+00,0.000e+00,True
Phi3med,ablit,Clinical,ses,Middle,200,11.207,91.438,0.000e+00,0.000e+00,True
Phi3med,ablit,Clinical,ses,High,200,11.883,89.629,0.000e+00,0.000e+00,True
Phi3med,ablit,Narrative,race,White,120,10.238,52.488,0.000e+00,0.000e+00,True
Phi3med,ablit,Narrative,race,Black,120,10.008,51.924,0.000e+00,0.000e+00,True
